Episodes Time-Steps Steps-In-One-Episode
21277 631 13
21301 632 24
21310 633 9
21327 634 17
21336 635 9
21351 636 15
21363 637 12
21372 638 9
21383 639 11
21404 640 21
21424 641 20
21433 642 9
21444 643 11
21459 644 15
21470 645 11
21482 646 12
21491 647 9
21502 648 11
21513 649 11
21529 650 16
21552 651 23
21570 652 18
21594 653 24
21603 654 9
21611 655 8
21624 656 13
21647 657 23
21656 658 9
21663 659 7
21672 660 9
21683 661 11
21694 662 11
21704 663 10
21719 664 15
21726 665 7
21737 666 11
21766 667 29
21785 668 19
21796 669 11
21811 670 15
21827 671 16
21837 672 10
21844 673 7
21857 674 13
21870 675 13
21880 676 10
21892 677 12
21901 678 9
21914 679 13
21923 680 9
21938 681 15
21947 682 9
21964 683 17
21971 684 7
21983 685 12
21994 686 11
22015 687 21
22028 688 13
22043 689 15
22052 690 9
22059 691 7
22078 692 19
22085 693 7
22098 694 13
22110 695 12
22128 696 18
22147 697 19
22158 698 11
22165 699 7
22174 700 9
22181 701 7
22188 702 7
22199 703 11
22217 704 18
22238 705 21
22261 706 23
22275 707 14
22282 708 7
22309 709 27
22317 710 8
22336 711 19
22343 712 7
22353 713 10
22362 714 9
22371 715 9
22403 716 32
22410 717 7
22420 718 10
22453 719 33
22462 720 9
22471 721 9
22485 722 14
22528 723 43
22540 724 12
22552 725 12
22560 726 8
22583 727 23
22604 728 21
22613 729 9
22622 730 9
22635 731 13
22662 732 27
22681 733 19
22696 734 15
22710 735 14
22728 736 18
22735 737 7
22749 738 14
22760 739 11
22767 740 7
22774 741 7
22789 742 15
22797 743 8
22806 744 9
22826 745 20
22836 746 10
22846 747 10
22878 748 32
22890 749 12
22908 750 18
22950 751 42
22975 752 25
22982 753 7
23001 754 19
23011 755 10
23018 756 7
23025 757 7
23043 758 18
23067 759 24
23079 760 12
23103 761 24
23113 762 10
23137 763 24
23152 764 15
23167 765 15
23184 766 17
23193 767 9
23217 768 24
23232 769 15
23239 770 7
23261 771 22
23287 772 26
23301 773 14
23311 774 10
23325 775 14
23336 776 11
23386 777 50
23393 778 7
23454 779 61
23485 780 31
23511 781 26
23596 782 85
23741 783 145
23791 784 50
23814 785 23
23855 786 41
23874 787 19
23903 788 29
23920 789 17
23935 790 15
23971 791 36
23999 792 28
24033 793 34
24044 794 11
24118 795 74
24159 796 41
24176 797 17
24191 798 15
24224 799 33
24249 800 25
24276 801 27
24301 802 25
24320 803 19
24350 804 30
24379 805 29
24402 806 23
24419 807 17
24473 808 54
24503 809 30
24534 810 31
24563 811 29
24598 812 35
24679 813 81
24703 814 24
24748 815 45
24781 816 33
24801 817 20
24814 818 13
24830 819 16
24882 820 52
24906 821 24
24926 822 20
24939 823 13
24968 824 29
24978 825 10
24987 826 9
25066 827 79
25113 828 47
25141 829 28
25167 830 26
25205 831 38
25236 832 31
25270 833 34
25301 834 31
25324 835 23
25338 836 14
25347 837 9
25366 838 19
25383 839 17
25395 840 12
25414 841 19
25433 842 19
25459 843 26
25473 844 14
25482 845 9
25500 846 18
25509 847 9
25518 848 9
25539 849 21
25548 850 9
25561 851 13
25572 852 11
25592 853 20
25609 854 17
25625 855 16
25637 856 12
25663 857 26
25678 858 15
25689 859 11
25705 860 16
25726 861 21
25738 862 12
25749 863 11
25759 864 10
25779 865 20
25787 866 8
25796 867 9
25804 868 8
25819 869 15
25829 870 10
25840 871 11
25880 872 40
25895 873 15
25906 874 11
25918 875 12
25941 876 23
25967 877 26
25984 878 17
26001 879 17
26020 880 19
26040 881 20
26055 882 15
26069 883 14
26077 884 8
26091 885 14
26129 886 38
26138 887 9
26152 888 14
26175 889 23
26184 890 9
26199 891 15
26213 892 14
26229 893 16
26250 894 21
26262 895 12
26270 896 8
26309 897 39
26327 898 18
26338 899 11
26360 900 22
26382 901 22
26407 902 25
26427 903 20
26435 904 8
26448 905 13
26465 906 17
26485 907 20
26493 908 8
26506 909 13
26516 910 10
26535 911 19
26564 912 29
26586 913 22
26600 914 14
26620 915 20
26637 916 17
26660 917 23
26675 918 15
26696 919 21
26708 920 12
26717 921 9
26725 922 8
26747 923 22
26761 924 14
26776 925 15
26789 926 13
26797 927 8
26830 928 33
26847 929 17
26864 930 17
26871 931 7
26878 932 7
26894 933 16
26905 934 11
26930 935 25
26968 936 38
27001 937 33
27011 938 10
27033 939 22
27046 940 13
27054 941 8
27085 942 31
27104 943 19
27120 944 16
27130 945 10
27139 946 9
27149 947 10
27179 948 30
27190 949 11
27201 950 11
27215 951 14
27231 952 16
27255 953 24
27269 954 14
27293 955 24
27302 956 9
27321 957 19
27333 958 12
27354 959 21
27384 960 30
27397 961 13
27411 962 14
27418 963 7
27429 964 11
27441 965 12
27448 966 7
27464 967 16
27476 968 12
27483 969 7
27492 970 9
27500 971 8
27508 972 8
27517 973 9
27528 974 11
27546 975 18
27554 976 8
27563 977 9
27575 978 12
27584 979 9
27598 980 14
27624 981 26
27687 982 63
27713 983 26
27737 984 24
27803 985 66
27827 986 24
27852 987 25
27868 988 16
27890 989 22
27901 990 11
27918 991 17
27937 992 19
27946 993 9
27972 994 26
27983 995 11
28009 996 26
28024 997 15
28044 998 20
28058 999 14
28076 1000 18
28102 1001 26
28114 1002 12
28125 1003 11
28133 1004 8
28148 1005 15
28161 1006 13
28179 1007 18
28192 1008 13
28205 1009 13
28219 1010 14
28238 1011 19
28265 1012 27
28291 1013 26
28301 1014 10
28315 1015 14
28326 1016 11
28349 1017 23
28356 1018 7
28368 1019 12
28375 1020 7
28390 1021 15
28405 1022 15
28412 1023 7
28429 1024 17
28448 1025 19
28459 1026 11
28468 1027 9
28482 1028 14
28506 1029 24
28532 1030 26
28543 1031 11
28556 1032 13
28564 1033 8
28575 1034 11
28595 1035 20
28605 1036 10
28613 1037 8
28625 1038 12
28632 1039 7
28652 1040 20
28685 1041 33
28698 1042 13
28711 1043 13
28722 1044 11
28734 1045 12
28743 1046 9
28763 1047 20
28802 1048 39
28821 1049 19
28841 1050 20
28881 1051 40
28918 1052 37
28928 1053 10
28949 1054 21
28970 1055 21
28986 1056 16
28996 1057 10
29004 1058 8
29017 1059 13
29038 1060 21
29061 1061 23
29073 1062 12
29090 1063 17
29120 1064 30
29128 1065 8
29137 1066 9
29166 1067 29
29197 1068 31
29232 1069 35
29255 1070 23
29267 1071 12
29279 1072 12
29287 1073 8
29301 1074 14
29311 1075 10
29324 1076 13
29355 1077 31
29363 1078 8
29370 1079 7
29379 1080 9
29387 1081 8
29396 1082 9
29418 1083 22
29436 1084 18
29459 1085 23
29470 1086 11
29489 1087 19
29497 1088 8
29511 1089 14
29519 1090 8
29544 1091 25
29568 1092 24
29580 1093 12
29608 1094 28
29626 1095 18
29633 1096 7
29650 1097 17
29657 1098 7
29673 1099 16
29694 1100 21
29707 1101 13
29719 1102 12
29737 1103 18
29745 1104 8
29757 1105 12
29806 1106 49
29820 1107 14
29858 1108 38
29870 1109 12
29885 1110 15
29894 1111 9
29909 1112 15
29916 1113 7
29928 1114 12
29946 1115 18
30020 1116 74
30028 1117 8
30142 1118 114
30193 1119 51
30217 1120 24
30230 1121 13
30238 1122 8
30268 1123 30
30282 1124 14
30289 1125 7
30309 1126 20
30326 1127 17
30338 1128 12
30349 1129 11
30367 1130 18
30378 1131 11
30391 1132 13
30410 1133 19
30423 1134 13
30450 1135 27
30469 1136 19
30493 1137 24
30521 1138 28
30534 1139 13
30548 1140 14
30557 1141 9
30569 1142 12
30580 1143 11
30598 1144 18
30609 1145 11
30633 1146 24
30644 1147 11
30657 1148 13
30671 1149 14
30683 1150 12
30690 1151 7
30700 1152 10
30708 1153 8
30725 1154 17
30742 1155 17
30751 1156 9
30758 1157 7
30777 1158 19
30791 1159 14
30801 1160 10
30812 1161 11
30822 1162 10
30831 1163 9
30842 1164 11
30861 1165 19
30875 1166 14
30882 1167 7
30894 1168 12
30902 1169 8
30910 1170 8
30919 1171 9
30930 1172 11
30948 1173 18
30958 1174 10
30974 1175 16
30987 1176 13
30996 1177 9
31007 1178 11
31014 1179 7
31022 1180 8
31031 1181 9
31046 1182 15
31059 1183 13
31074 1184 15
31086 1185 12
31094 1186 8
31102 1187 8
31120 1188 18
31134 1189 14
31144 1190 10
31151 1191 7
31161 1192 10
31168 1193 7
31185 1194 17
31193 1195 8
31202 1196 9
31215 1197 13
31223 1198 8
31232 1199 9
31245 1200 13
31252 1201 7
31260 1202 8
31269 1203 9
31278 1204 9
31288 1205 10
31300 1206 12
31311 1207 11
31319 1208 8
31330 1209 11
31340 1210 10
31347 1211 7
31367 1212 20
31375 1213 8
31383 1214 8
31391 1215 8
31409 1216 18
31422 1217 13
31431 1218 9
31440 1219 9
31453 1220 13
31462 1221 9
31472 1222 10
31502 1223 30
31513 1224 11
31526 1225 13
31538 1226 12
31545 1227 7
31554 1228 9
31568 1229 14
31579 1230 11
31587 1231 8
31599 1232 12
31608 1233 9
31618 1234 10
31633 1235 15
31640 1236 7
31649 1237 9
31658 1238 9
31667 1239 9
31677 1240 10
31687 1241 10
31698 1242 11
31707 1243 9
31715 1244 8
31725 1245 10
31733 1246 8
31751 1247 18
31763 1248 12
31771 1249 8
31789 1250 18
31796 1251 7
31824 1252 28
31831 1253 7
31839 1254 8
31848 1255 9
31857 1256 9
31872 1257 15
31880 1258 8
31890 1259 10
